 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 PP_ANYTHING.DAT
 P P --> ANYTHING
 0.938270    0.938270      0.            0
 14
 1  18.00000   17.69400   18.30600   38.700     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 2  19.33000   19.33000   19.33000   38.900     0.30000 0.30000    0.0  0.0  BELLETTINI 65    PL 14, 164
 3  19.40000   18.40000   20.40000   39.700     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 4  19.80000   19.80000   19.80000   38.600     0.60000 0.60000    0.0  0.0  BADIER 72        PL 41B, 387
 5  24.50000   24.50000   24.50000   39.300     0.80000 0.80000    0.0  0.0  BREITENLOHNE 63  PL 7, 73
 6  32.10000   31.90000   32.30000   38.400     0.60000 0.60000    0.0  0.0  JABIOL 77        NP B127, 365
 7  40.00000   40.00000   40.00000   38.500     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 8  40.00000   40.00000   40.00000   38.850     0.15000 0.15000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 9  42.50000   42.50000   42.50000   38.420     9.0E-02 9.0E-02    0.3  0.3  APOKIN 76        YF 25, 94
 10  70.00000   70.00000   70.00000   38.280     4.0E-02 4.0E-02    0.4  0.4  CARROLL 76       PL 61B, 303
 11  72.99398   72.99398   72.99398   37.600     1.1000  1.1000     0.5  0.5  BARTENEV 72      PRL 29, 1755
 12  100.00000  99.00000   101.00000  38.700     1.3000  1.3000     3.0  3.0  BRENNER 82       PR D26, 1497
 13  100.00000  100.00000  100.00000  38.390     6.0E-02 6.0E-02    0.5  0.5  CARROLL 74       PRL 33, 928
 14  102.00000  102.00000  102.00000  38.900     0.80000 0.80000    0.0  0.0  BROMBERG 73      PRL 31, 1563
