 FILE_NAME
 REACTION
 BEAM_MASS TARGET_MASS THRESHOLD FINAL_STATE_MULTIPLICITY
 NUMBER_OF_DATA_POINTS
 POINT_NUMBER PLAB(GEV/C) PLAB_MIN PLAB_MAX SIG(MB) STA_ERR+ STA_ERR- SY_ER+(PCT) SY_ER-(PCT) REFERENCE FLAG
  FORMAT(I5,1X,4F11.5,2F8.4,1X,2F6.1,A)
 -------------------------------------------------------------------------------------------------------
 PP_ANYTHING.DAT
 P P --> ANYTHING
 0.938270    0.938270      0.            0
 45
 1  12.40000   11.80000   13.00000   39.000     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 2  14.00000   13.76200   14.23800   39.100     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 3  15.00000   15.00000   15.00000   39.290     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 4  15.80000   15.05000   16.55000   38.700     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 5  16.00000   15.72800   16.27200   38.700     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 6  17.70000   16.80000   18.60000   39.700     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 7  18.00000   17.69400   18.30600   38.700     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 8  19.33000   19.33000   19.33000   38.900     0.30000 0.30000    0.0  0.0  BELLETTINI 65    PL 14, 164
 9  19.40000   18.40000   20.40000   39.700     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 10  19.80000   19.80000   19.80000   38.600     0.60000 0.60000    0.0  0.0  BADIER 72        PL 41B, 387
 11  20.00000   19.66000   20.34000   38.400     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 12  20.00000   20.00000   20.00000   39.060     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 13  20.00000   20.00000   20.00000   38.850     0.15000 0.15000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 14  21.40000   20.30000   22.50000   39.400     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 15  22.00000   21.62600   22.37400   38.300     0.60000 0.60000    1.0  1.0  GALBRAITH 65     PR 138, B913
 16  23.00000   23.00000   23.00000   39.390     0.42000 0.42000    0.4  0.4  CARROLL 76       PL 61B, 303
 17  24.20000   22.80000   25.60000   38.700     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 18  24.50000   24.50000   24.50000   39.300     0.80000 0.80000    0.0  0.0  BREITENLOHNE 63  PL 7, 73
 19  25.00000   25.00000   25.00000   38.800     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 20  26.42000   26.42000   26.42000   38.800     0.30000 0.30000    0.0  0.0  BELLETTINI 65    PL 14, 164
 21  28.40000   27.00000   29.80000   39.900     1.5000  1.5000     0.0  0.0  ASHMORE 60       PRL 5, 576
 22  30.00000   30.00000   30.00000   38.590     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 23  30.00000   30.00000   30.00000   38.550     0.15000 0.15000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 24  32.10000   31.90000   32.30000   38.400     0.60000 0.60000    0.0  0.0  JABIOL 77        NP B127, 365
 25  35.00000   35.00000   35.00000   38.490     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 26  35.00000   35.00000   35.00000   38.460     5.0E-02 5.0E-02    0.4  0.4  CARROLL 76       PL 61B, 303
 27  40.00000   40.00000   40.00000   38.500     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 28  40.00000   40.00000   40.00000   38.850     0.15000 0.15000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 29  42.50000   42.50000   42.50000   38.420     9.0E-02 9.0E-02    0.3  0.3  APOKIN 76        YF 25, 94
 30  45.00000   45.00000   45.00000   38.450     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 31  50.00000   50.00000   50.00000   38.460     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 32  50.00000   50.00000   50.00000   38.200     5.0E-02 5.0E-02    0.4  0.4  CARROLL 76       PL 61B, 303
 33  50.00000   50.00000   50.00000   38.140     7.0E-02 7.0E-02    0.5  0.5  CARROLL 74       PRL 33, 928
 34  50.00000   50.00000   50.00000   38.420     0.15000 0.15000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 35  52.20000   52.20000   52.20000   37.870     0.12000 0.12000    0.3  0.3  APOKIN 76        YF 25, 94
 36  55.00000   55.00000   55.00000   38.430     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 37  60.00000   60.00000   60.00000   38.440     0.12000 0.12000    0.4  0.4  DENISOV 71       PL 36B, 415
 38  65.00000   65.00000   65.00000   38.650     0.18000 0.18000    0.3  0.3  BUSHNIN 73C      YF 16, 1224
 39  70.00000   70.00000   70.00000   38.280     4.0E-02 4.0E-02    0.4  0.4  CARROLL 76       PL 61B, 303
 40  72.99398   72.99398   72.99398   37.600     1.1000  1.1000     0.5  0.5  BARTENEV 72      PRL 29, 1755
 41  97.99551   97.99551   97.99551   37.600     1.1000  1.1000     0.5  0.5  BARTENEV 72      PRL 29, 1755
 42  100.00000  99.00000   101.00000  38.700     1.3000  1.3000     3.0  3.0  BRENNER 82       PR D26, 1497
 43  100.00000  100.00000  100.00000  38.460     4.0E-02 4.0E-02    0.4  0.4  CARROLL 76       PL 61B, 303
 44  100.00000  100.00000  100.00000  38.390     6.0E-02 6.0E-02    0.5  0.5  CARROLL 74       PRL 33, 928
 45  102.00000  102.00000  102.00000  38.900     0.80000 0.80000    0.0  0.0  BROMBERG 73      PRL 31, 1563
